red,green,blue
182.0,3.455,4.35e-05
0.6626,0.5527,0.549
4.35e-05,0.0,-25860.0
3.455,4.35e-05,0.0
-15740.0,3.455,4.35e-05
0.0,-16900.0,3.455
4.35e-05,0.0,-18690.0
0.608,0.569,0.5293
536.0,3.457,4.35e-05
0.0,6.438,0.8765
4.35e-05,0.0,13.375
3.457,4.35e-05,0.0
13.875,3.457,4.35e-05
0.0,632.0,3.457
0.7217,0.533,0.4548
3.455,4.35e-05,0.0
0.686,0.6313,0.596
0.0,198.0,3.455
4.35e-05,0.0,230.0
3.455,4.35e-05,0.0
14.375,3.457,4.35e-05
0.0,-0.0005493,3.457
4.35e-05,0.0,-20480.0
3.455,4.35e-05,0.0
0.5566,0.408,0.3726
0.7217,0.698,0.604
4.35e-05,0.0,-0.0006256
0.651,0.4275,0.3137
0.7217,0.5527,0.5605
0.9253,0.886,0.9175
0.6157,0.506,0.4902
0.612,0.2864,0.2235
14.875,3.457,4.35e-05
0.5605,0.392,0.3254
4.35e-05,0.0,-0.0006638
3.457,4.35e-05,0.0
-27650.0,3.455,4.35e-05
0.0,-0.000702,3.457
4.35e-05,0.0,-0.00074
3.457,4.35e-05,0.0
300.0,3.455,4.35e-05
0.8394,0.643,0.5137
4.35e-05,0.0,6.438
0.8765,4.35e-05,0.0
0.6587,0.4353,0.392
0.7217,0.4941,0.447
4.35e-05,0.0,16.75
0.5527,0.443,0.4275
-0.000778,3.457,4.35e-05
0.0,6.438,0.8765
4.35e-05,0.0,17.75
3.457,4.35e-05,0.0
18.75,3.457,4.35e-05
0.0,332.0,3.455
0.569,0.5215,0.4587
3.455,4.35e-05,0.0
0.4119,0.3843,0.353
0.6704,0.4119,0.3098
0.706,0.6353,0.596
3.455,4.35e-05,0.0
0.447,0.357,0.302
0.0,-31230.0,3.455
0.702,0.549,0.4275
0.8765,4.35e-05,0.0
19.75,3.457,4.35e-05
0.5176,0.3804,0.306
4.35e-05,0.0,-0.0008545
3.457,4.35e-05,0.0
-0.0008926,3.457,4.35e-05
0.0,21.75,3.457
4.35e-05,0.0,22.75
3.457,4.35e-05,0.0
23.75,3.457,4.35e-05
0.0,24.75,3.457
0.5137,0.298,0.1765
3.457,4.35e-05,0.0
0.706,0.5566,0.4863
0.0,26.75,3.457
4.35e-05,0.0,27.75
3.457,4.35e-05,0.0
824.0,3.457,4.35e-05
0.0,28.75,3.457
0.749,0.6704,0.6353
3.457,4.35e-05,0.0
30.75,3.457,4.35e-05
0.6235,0.537,0.443
4.35e-05,0.0,-2.193e-05
3.457,4.35e-05,0.0
0.506,0.4158,0.4236
0.0,-3.34e-05,3.457
4.35e-05,0.0,-0.000931
3.457,4.35e-05,0.0
-0.000969,3.457,4.35e-05
0.741,0.6313,0.537
0.4941,0.498,0.4785
0.565,0.4158,0.4119
0.4275,0.2471,0.2079
0.0,-6.7e-06,3.457
0.537,0.408,0.4119
3.457,4.35e-05,0.0
